Fever,Cough,Fatigue,Difficulty Breathing,Age,Gender,Blood Pressure,Cholesterol Level
0.12974076050183106,0.0819715847368925,0.0834492842542388,0.14720962678282223,0.3871411322541177,0.04388593597949482,0.044000501758376144,0.08260117373222675
0.06798867839987634,0.1071900969246716,0.010673197861377631,0.20754294098414292,0.3194849064923608,0.08673731731027945,0.06836549206756092,0.13201736995973037
0.05940157412657706,0.0714104786835459,0.29689354290770187,0.040793950441044315,0.31018850459592295,0.07135371438928019,0.07734587011374731,0.07261236474218039
0.14673495856665852,0.053355620721915055,0.0726003568485266,0.30291841843136236,0.20215730042926267,0.03910398538642337,0.11602771220738775,0.06710164740846374
0.05899451851277453,0.06255328672104173,0.05230482022714071,0.05022164848093089,0.33783742725356464,0.16426969876533817,0.11485775242434774,0.15896084761486157
0.12361456705960543,0.1972652405927154,0.03763992995223006,0.04216611422320712,0.14734603643761796,0.1547876175842234,0.16132577467865328,0.13585471947174746
0.13991881560440372,0.10993502769959942,0.07001589210177753,0.09569160318250296,0.2339627394242853,0.09658064498946235,0.0737884629455967,0.18010681405237197
0.12777084610524536,0.10819158903281785,0.10773345536121354,0.06006547033138763,0.29982437703565873,0.0670951671961748,0.10728748723569666,0.12203160770180553
0.16075484376070562,0.08479364081860725,0.08365211904774796,0.0986546008453782,0.25439803488306695,0.07360590799955297,0.1470609035000053,0.09707994914493574
0.06733824617144314,0.1126095891252194,0.07544659063264866,0.05552245494942708,0.32816977259600627,0.10607716730635834,0.11223975751985182,0.1425964216990453
0.09957885828044011,0.09360689285787574,0.0630538276376051,0.03201585271166721,0.2675957174124695,0.11006138044839257,0.07282906247126869,0.2612584081802811
0.093505039294635,0.08844282082958697,0.06949685652143713,0.05777123730664481,0.3553068451843574,0.1093642094199414,0.09853383765255679,0.12757915379084045
0.08013838114076492,0.11714367398238983,0.09095425795732767,0.09917103438702796,0.30247430891960453,0.10834193849026537,0.1030631937253149,0.09871321139730484
0.08542259646272957,0.0507248835063974,0.054878909725545995,0.060194364245733066,0.5245750589468541,0.037758755118959424,0.05778019610952122,0.12866523588425935
0.1317170903494985,0.0856135441108546,0.04581809239957199,0.042010340702707476,0.36761823098256496,0.0833195019125939,0.0721526971179091,0.1717505024242995
0.0660462344068372,0.09769524012979187,0.07347273047985305,0.048493222764530504,0.30732344225573544,0.1167456885219648,0.1706348897822283,0.11958855165905888
